=== YOLOv8l Baseline Measurement ===
Parameters: conf=0.25, iou=0.7, imgsz=640
[SampleVideo-Scene-203.mp4] - Detections: 3
[SampleVideo-Scene-204.mp4] - Detections: 2
[SampleVideo-Scene-205.mp4] - Detections: 3
[SampleVideo-Scene-206.mp4] - Detections: 6
[SampleVideo-Scene-207.mp4] - Detections: 1
[SampleVideo-Scene-208.mp4] - Detections: 6
[SampleVideo-Scene-209.mp4] - Detections: 2
[SampleVideo-Scene-210.mp4] - Detections: 2
[SampleVideo-Scene-211.mp4] - Detections: 1
[SampleVideo-Scene-212.mp4] - Detections: 1
[SampleVideo-Scene-213.mp4] - Detections: 4
[SampleVideo-Scene-214.mp4] - Detections: 3
[SampleVideo-Scene-215.mp4] - Detections: 1
[SampleVideo-Scene-216.mp4] - Detections: 3
[SampleVideo-Scene-217.mp4] - Detections: 2
[SampleVideo-Scene-218.mp4] - Detections: 3

=== Summary ===
Total Detections across 218 frames: 715
Class Breakdown:
  - person: 367
  - chair: 116
  - tie: 50
  - couch: 25
  - cell phone: 20
  - cup: 19
  - dining table: 13
  - book: 11
  - tv: 11
  - handbag: 11
  - bed: 10
  - laptop: 10
  - remote: 8
  - vase: 7
  - bowl: 4
  - bottle: 4
  - sports ball: 4
  - toothbrush: 3
  - kite: 3
  - clock: 2
  - potted plant: 2
  - suitcase: 2
  - pizza: 2
  - teddy bear: 2
  - cake: 1
  - banana: 1
  - parking meter: 1
  - backpack: 1
  - fork: 1
  - cat: 1
  - umbrella: 1
  - car: 1
  - mouse: 1

[Notice regarding mAP, Precision, and Recall]
실제 mAP, Precision, Recall 밎 누락/오검출 객체 수를 정확히 구하려면
사람이 직접 어노테이션(라벨링)한 정답지(Ground Truth) 데이터셋이 필요합니다.
현재는 정답지가 없으므로, 이 측정값을 '의사 정답지(Pseudo Ground Truth Baseline)'로 삼아
향후 튜닝된 파라미터가 이 기준 대비 얼마나 검출량을 늘렸는지(Recall 향상 목적) 또는
얼마나 줄였는지(Precision 향상 목적)를 비교하는 상대 지표로 활용할 수 있습니다.
